no;Jenis Penugasan;kluster;ragam;provinsi;kab/kota;latitude;longitude;Tahun Pendataan;Jenis Bantuan;Dampak
1;Non-Residensial;Anak;AMPK;NTT;Kota Kupang;-10.21667000;123.60000000;2024;Perlengkapan Sekolah;Peningkatan akses pendidikan dan dukungan akademik
2;Non-Residensial;Anak;AMPK;NTT;Kab. Alor;-8.30000000;124.56667000;2024;Sembako;Peningkatan akses makanan dan pengurangan beban ekonomi
3;Non-Residensial;Lansia;Lanjut Usia;NTT;TTS;-9.47167000;124.80472000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
4;Non-Residensial;Lansia;Lanjut Usia;NTT;Kab. Nagekeo;-8.87210000;121.20963000;2024;Kewirausahaan;Peningkatan pendapatan dan kemandirian usaha
5;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
6;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
7;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
8;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
9;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
10;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
11;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
12;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
13;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
14;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
15;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
16;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
17;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
18;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
19;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
20;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
21;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
22;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
23;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
24;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
25;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
26;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
27;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
28;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
29;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
30;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
31;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
32;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
33;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Malaka;-9.56320000;124.89481000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
34;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
35;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
36;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Kupang;-10.17875700;123.59760300;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
37;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
38;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
